"Timestamp","Total score","Consent to Participate","Consent to Participate [Score]","Consent to Participate [Feedback]","Please create a unique participant code using the following format:
 last 2 digits of phone number + birth month + first letter of mother’s first name (Example: 45 + 07 + C → 4507C).
Use the same code in all questionnaires.","Please create a unique participant code using the following format:
 last 2 digits of phone number + birth month + first letter of mother’s first name (Example: 45 + 07 + C → 4507C).
Use the same code in all questionnaires. [Score]","Please create a unique participant code using the following format:
 last 2 digits of phone number + birth month + first letter of mother’s first name (Example: 45 + 07 + C → 4507C).
Use the same code in all questionnaires. [Feedback]","1. Before today, how familiar were you with fuzz testing?","1. Before today, how familiar were you with fuzz testing? [Score]","1. Before today, how familiar were you with fuzz testing? [Feedback]","2. Before today, how familiar were you with grammar-based fuzzing?","2. Before today, how familiar were you with grammar-based fuzzing? [Score]","2. Before today, how familiar were you with grammar-based fuzzing? [Feedback]","3. I feel confident using command-line tools for software testing tasks.","3. I feel confident using command-line tools for software testing tasks. [Score]","3. I feel confident using command-line tools for software testing tasks. [Feedback]","4. I understand how unexpected or edge-case inputs can reveal hidden software bugs.","4. I understand how unexpected or edge-case inputs can reveal hidden software bugs. [Score]","4. I understand how unexpected or edge-case inputs can reveal hidden software bugs. [Feedback]","5. I understand how automated testing tools can generate many different test inputs.","5. I understand how automated testing tools can generate many different test inputs. [Score]","5. I understand how automated testing tools can generate many different test inputs. [Feedback]","6. I feel confident interpreting software crashes and exceptions.","6. I feel confident interpreting software crashes and exceptions. [Score]","6. I feel confident interpreting software crashes and exceptions. [Feedback]","7. I understand the difference between random fuzzing and grammar-based fuzzing.","7. I understand the difference between random fuzzing and grammar-based fuzzing. [Score]","7. I understand the difference between random fuzzing and grammar-based fuzzing. [Feedback]","8. Which statement best describes grammar-based fuzzing?","8. Which statement best describes grammar-based fuzzing? [Score]","8. Which statement best describes grammar-based fuzzing? [Feedback]"
"2026/05/25 2:23:57 PM GMT+1","0.00 / 0","I voluntarily agree to participate in this study and understand that my responses are anonymous and will be used only for research purposes.","-- / 0","","2207M","-- / 0","","1","-- / 0","","1","-- / 0","","3","-- / 0","","4","-- / 0","","4","-- / 0","","4","-- / 0","","2","-- / 0","","It generates structured inputs based on predefined rules","0.00 / 0",""
"2026/05/25 2:24:19 PM GMT+1","0.00 / 0","I voluntarily agree to participate in this study and understand that my responses are anonymous and will be used only for research purposes.","-- / 0","","6012L","-- / 0","","2","-- / 0","","1","-- / 0","","3","-- / 0","","4","-- / 0","","4","-- / 0","","3","-- / 0","","1","-- / 0","","It generates only random meaningless bytes","0.00 / 0",""
"2026/05/25 2:24:19 PM GMT+1","0.00 / 0","I voluntarily agree to participate in this study and understand that my responses are anonymous and will be used only for research purposes.","-- / 0","","7012M","-- / 0","","1","-- / 0","","1","-- / 0","","4","-- / 0","","3","-- / 0","","4","-- / 0","","3","-- / 0","","2","-- / 0","","It generates structured inputs based on predefined rules","0.00 / 0",""
"2026/05/25 2:24:23 PM GMT+1","0.00 / 0","I voluntarily agree to participate in this study and understand that my responses are anonymous and will be used only for research purposes.","-- / 0","","9709C","-- / 0","","4","-- / 0","","3","-- / 0","","2","-- / 0","","5","-- / 0","","5","-- / 0","","5","-- / 0","","2","-- / 0","","It generates structured inputs based on predefined rules","0.00 / 0",""
"2026/05/25 2:24:27 PM GMT+1","0.00 / 0","I voluntarily agree to participate in this study and understand that my responses are anonymous and will be used only for research purposes.","-- / 0","","4008A","-- / 0","","2","-- / 0","","2","-- / 0","","3","-- / 0","","4","-- / 0","","4","-- / 0","","4","-- / 0","","1","-- / 0","","It generates structured inputs based on predefined rules","0.00 / 0",""
"2026/05/25 2:24:34 PM GMT+1","0.00 / 0","I voluntarily agree to participate in this study and understand that my responses are anonymous and will be used only for research purposes.","-- / 0","","2707I","-- / 0","","1","-- / 0","","1","-- / 0","","3","-- / 0","","3","-- / 0","","2","-- / 0","","2","-- / 0","","2","-- / 0","","It generates structured inputs based on predefined rules","0.00 / 0",""
"2026/05/25 2:24:42 PM GMT+1","0.00 / 0","I voluntarily agree to participate in this study and understand that my responses are anonymous and will be used only for research purposes.","-- / 0","","0219E","-- / 0","","2","-- / 0","","2","-- / 0","","2","-- / 0","","2","-- / 0","","2","-- / 0","","2","-- / 0","","2","-- / 0","","It generates structured inputs based on predefined rules","0.00 / 0",""
"2026/05/25 2:24:50 PM GMT+1","0.00 / 0","I voluntarily agree to participate in this study and understand that my responses are anonymous and will be used only for research purposes.","-- / 0","","5512A","-- / 0","","1","-- / 0","","1","-- / 0","","3","-- / 0","","4","-- / 0","","4","-- / 0","","3","-- / 0","","1","-- / 0","","It generates structured inputs based on predefined rules","0.00 / 0",""
"2026/05/25 2:25:10 PM GMT+1","0.00 / 0","I voluntarily agree to participate in this study and understand that my responses are anonymous and will be used only for research purposes.","-- / 0","","1809A","-- / 0","","2","-- / 0","","2","-- / 0","","4","-- / 0","","5","-- / 0","","5","-- / 0","","4","-- / 0","","3","-- / 0","","It generates structured inputs based on predefined rules","0.00 / 0",""
"2026/05/25 2:25:25 PM GMT+1","0.00 / 0","I voluntarily agree to participate in this study and understand that my responses are anonymous and will be used only for research purposes.","-- / 0","","2712M","-- / 0","","1","-- / 0","","1","-- / 0","","1","-- / 0","","3","-- / 0","","5","-- / 0","","2","-- / 0","","1","-- / 0","","It generates structured inputs based on predefined rules","0.00 / 0",""
"2026/05/25 2:25:41 PM GMT+1","0.00 / 0","I voluntarily agree to participate in this study and understand that my responses are anonymous and will be used only for research purposes.","-- / 0","","5707C","-- / 0","","1","-- / 0","","1","-- / 0","","4","-- / 0","","4","-- / 0","","4","-- / 0","","4","-- / 0","","1","-- / 0","","It generates structured inputs based on predefined rules","0.00 / 0",""
"2026/05/25 2:25:45 PM GMT+1","0.00 / 0","I voluntarily agree to participate in this study and understand that my responses are anonymous and will be used only for research purposes.","-- / 0","","8201H","-- / 0","","2","-- / 0","","1","-- / 0","","3","-- / 0","","3","-- / 0","","4","-- / 0","","3","-- / 0","","1","-- / 0","","It generates structured inputs based on predefined rules","0.00 / 0",""
"2026/05/25 2:25:55 PM GMT+1","0.00 / 0","I voluntarily agree to participate in this study and understand that my responses are anonymous and will be used only for research purposes.","-- / 0","","6405C","-- / 0","","2","-- / 0","","2","-- / 0","","3","-- / 0","","3","-- / 0","","3","-- / 0","","3","-- / 0","","2","-- / 0","","It generates structured inputs based on predefined rules","0.00 / 0",""
"2026/05/25 2:25:59 PM GMT+1","0.00 / 0","I voluntarily agree to participate in this study and understand that my responses are anonymous and will be used only for research purposes.","-- / 0","","2701L","-- / 0","","1","-- / 0","","1","-- / 0","","2","-- / 0","","3","-- / 0","","3","-- / 0","","2","-- / 0","","2","-- / 0","","It generates structured inputs based on predefined rules","0.00 / 0",""
"2026/05/25 2:26:04 PM GMT+1","0.00 / 0","I voluntarily agree to participate in this study and understand that my responses are anonymous and will be used only for research purposes.","-- / 0","","8012M ","-- / 0","","3","-- / 0","","3","-- / 0","","3","-- / 0","","3","-- / 0","","4","-- / 0","","3","-- / 0","","2","-- / 0","","It generates structured inputs based on predefined rules","0.00 / 0",""
"2026/05/25 2:26:09 PM GMT+1","0.00 / 0","I voluntarily agree to participate in this study and understand that my responses are anonymous and will be used only for research purposes.","-- / 0","","8701S","-- / 0","","2","-- / 0","","2","-- / 0","","3","-- / 0","","3","-- / 0","","3","-- / 0","","2","-- / 0","","2","-- / 0","","It generates structured inputs based on predefined rules","0.00 / 0",""
"2026/05/25 2:26:17 PM GMT+1","0.00 / 0","I voluntarily agree to participate in this study and understand that my responses are anonymous and will be used only for research purposes.","-- / 0","","4309A","-- / 0","","4","-- / 0","","2","-- / 0","","4","-- / 0","","4","-- / 0","","4","-- / 0","","3","-- / 0","","2","-- / 0","","It generates structured inputs based on predefined rules","0.00 / 0",""
"2026/05/25 2:26:21 PM GMT+1","0.00 / 0","I voluntarily agree to participate in this study and understand that my responses are anonymous and will be used only for research purposes.","-- / 0","","5630M","-- / 0","","2","-- / 0","","2","-- / 0","","2","-- / 0","","2","-- / 0","","2","-- / 0","","2","-- / 0","","2","-- / 0","","It generates structured inputs based on predefined rules","0.00 / 0",""
"2026/05/25 2:26:51 PM GMT+1","0.00 / 0","I voluntarily agree to participate in this study and understand that my responses are anonymous and will be used only for research purposes.","-- / 0","","8305J","-- / 0","","2","-- / 0","","3","-- / 0","","3","-- / 0","","3","-- / 0","","2","-- / 0","","3","-- / 0","","2","-- / 0","","It generates only random meaningless bytes","0.00 / 0",""
"2026/05/25 2:27:08 PM GMT+1","0.00 / 0","I voluntarily agree to participate in this study and understand that my responses are anonymous and will be used only for research purposes.","-- / 0","","6708D","-- / 0","","1","-- / 0","","1","-- / 0","","2","-- / 0","","4","-- / 0","","4","-- / 0","","3","-- / 0","","1","-- / 0","","It generates structured inputs based on predefined rules","0.00 / 0",""
"2026/05/25 2:31:38 PM GMT+1","0.00 / 0","I voluntarily agree to participate in this study and understand that my responses are anonymous and will be used only for research purposes.","-- / 0","","7105M","-- / 0","","1","-- / 0","","1","-- / 0","","3","-- / 0","","5","-- / 0","","4","-- / 0","","2","-- / 0","","1","-- / 0","","It generates structured inputs based on predefined rules","0.00 / 0",""